Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,78,99,51,30,102,30,139,52,50
2026-08-24,114,136,73,45,121,26,118,74,115
2026-08-25,67,24,41,14,79,6,85,18,333
2026-08-26,133,113,141,26,127,47,399,31,171
2026-08-27,178,55,160,34,183,18,382,99,166
2026-08-28,35,53,178,46,26,8,307,16,347
2026-08-29,171,65,112,5,148,13,234,71,86
2026-08-30,136,78,59,28,130,21,171,33,56
2026-08-31,105,141,136,46,106,59,360,58,57
2026-09-01,54,133,159,54,73,48,381,15,56
2026-09-02,142,153,93,4,143,60,271,90,257
2026-09-03,107,207,50,22,99,66,165,54,113
2026-09-04,124,128,152,72,149,34,498,75,352
2026-09-05,206,127,61,4,159,55,212,62,93
2026-09-06,205,204,89,25,209,45,248,58,147
2026-09-07,180,160,82,22,193,56,136,110,254
2026-09-08,134,54,53,58,180,13,147,82,267
2026-09-09,143,168,95,55,125,39,210,47,325
2026-09-10,87,40,56,51,115,10,119,76,319
2026-09-11,29,188,115,64,22,75,193,10,191
2026-09-12,91,183,179,3,95,39,412,48,120
2026-09-13,122,173,62,16,126,61,121,55,70
2026-09-14,21,195,86,52,28,45,289,18,317
2026-09-15,172,139,138,72,162,21,375,113,88
2026-09-16,169,170,134,41,126,64,315,51,346
2026-09-17,92,184,89,30,89,67,241,21,359
2026-09-18,84,134,113,11,53,38,316,21,240
2026-09-19,178,81,162,11,247,23,466,74,21
2026-09-20,63,229,27,29,71,72,49,34,127
2026-09-21,85,87,10,65,98,33,29,28,105
